trip_index,start_hour,start_min,end_hour,end_min,duration_min
1,5,46,6,7,21
2,6,1,6,43,42
3,6,16,6,58,42
4,6,28,7,13,45
5,6,42,7,28,46
6,6,55,7,43,48
7,7,8,7,58,50
8,7,23,8,14,51
9,7,38,8,30,52
10,7,55,8,45,50
11,8,10,9,0,50
12,8,25,9,15,50
13,8,41,9,30,49
14,8,57,9,45,48
15,9,11,9,59,48
16,9,26,10,14,48
17,9,40,10,28,48
18,9,55,10,43,48
19,10,10,10,58,48
20,10,25,11,13,48
21,10,40,11,28,48
22,10,55,11,43,48
23,11,10,11,58,48
24,11,25,12,13,48
25,11,40,12,28,48
26,11,55,12,43,48
27,12,10,12,58,48
28,12,25,13,13,48
29,12,40,13,28,48
30,12,55,13,43,48
31,13,10,13,58,48
32,13,25,14,13,48
33,13,40,14,28,48
34,13,55,14,44,49
35,14,10,15,0,50
36,14,25,15,15,50
37,14,40,15,30,50
38,14,55,15,45,50
39,15,8,15,59,51
40,15,23,16,15,52
41,15,36,16,29,53
42,15,51,16,45,54
43,16,6,17,0,54
44,16,21,17,15,54
45,16,36,17,29,53
46,16,51,17,43,52
47,17,8,17,59,51
48,17,25,18,14,49
49,17,40,18,28,48
50,17,55,18,43,48
51,18,10,18,57,47
52,18,25,19,9,44
53,18,55,19,39,44
54,19,31,20,15,44
55,20,1,20,44,43
56,20,31,21,13,42
57,21,1,21,43,42
58,21,31,22,13,42
59,22,2,22,43,41
60,22,33,23,13,40
61,23,4,23,43,39
62,23,35,24,13,38
63,23,58,24,36,38
64,24,36,25,17,41
