trip_index,start_hour,start_min,end_hour,end_min,duration_min
1,5,35,6,14,39
2,5,50,6,29,39
3,6,5,6,44,39
4,6,20,6,59,39
5,6,35,7,14,39
6,6,49,7,29,40
7,6,59,7,39,40
8,7,8,7,49,41
9,7,17,7,59,42
10,7,26,8,9,43
11,7,36,8,19,43
12,7,46,8,29,43
13,7,56,8,39,43
14,8,6,8,49,43
15,8,16,8,59,43
16,8,26,9,9,43
17,8,36,9,19,43
18,8,46,9,29,43
19,9,1,9,44,43
20,9,16,9,59,43
21,9,31,10,14,43
22,9,46,10,29,43
23,10,1,10,44,43
24,10,16,10,59,43
25,10,31,11,14,43
26,10,44,11,29,45
27,10,59,11,44,45
28,11,14,11,59,45
29,11,29,12,14,45
30,11,44,12,29,45
31,11,59,12,44,45
32,12,14,12,59,45
33,12,29,13,14,45
34,12,43,13,29,46
35,12,57,13,44,47
36,13,12,13,59,47
37,13,27,14,14,47
38,13,42,14,29,47
39,13,57,14,44,47
40,14,12,14,59,47
41,14,27,15,14,47
42,14,42,15,29,47
43,14,52,15,39,47
44,15,2,15,49,47
45,15,12,15,59,47
46,15,22,16,9,47
47,15,32,16,19,47
48,15,42,16,29,47
49,15,52,16,39,47
50,16,2,16,49,47
51,16,12,16,59,47
52,16,22,17,9,47
53,16,32,17,19,47
54,16,42,17,29,47
55,16,52,17,39,47
56,17,2,17,49,47
57,17,12,17,59,47
58,17,23,18,9,46
59,17,33,18,19,46
60,17,44,18,29,45
61,18,1,18,44,43
62,18,16,18,59,43
63,18,31,19,14,43
64,18,46,19,29,43
65,19,1,19,44,43
66,19,16,19,59,43
67,19,31,20,14,43
68,19,46,20,29,43
69,20,3,20,44,41
70,20,18,20,59,41
71,20,33,21,14,41
72,20,48,21,29,41
73,21,3,21,44,41
74,21,18,21,59,41
75,21,33,22,14,41
76,21,48,22,29,41
77,22,4,22,44,40
78,22,21,22,59,38
79,22,37,23,14,37
80,22,52,23,29,37
81,23,7,23,44,37
82,23,22,23,59,37
83,23,37,24,14,37
84,23,52,24,29,37
85,24,7,24,44,37
86,24,23,25,0,37
87,24,38,25,18,40
